,,ADF Statistic,P - Value,Lag
High_MTD,BDT,-8.44228488336,1.75007762933e-13,25
High_MTD,CNY,-6.90341205043,1.26499265193e-09,28
High_MTD,HKD,-9.92021847476,3.00476590384e-17,14
High_MTD,IDR,,,
High_MTD,INR,-12.0764694885,2.28406905732e-22,6
High_MTD,JPY,-11.2414950391,1.80240488328e-20,3
High_MTD,KRW,-11.243928868,1.77885339228e-20,8
High_MTD,LKR,-7.23446624432,1.95587677682e-10,24
High_MTD,MNT,-8.08463551256,1.4307473228e-12,23
High_MTD,MYR,-11.0241950572,5.88414139534e-20,3
High_MTD,NZD,-9.57444840011,2.2428426324e-16,21
High_MTD,PHP,-9.17526569194,2.32937172376e-15,21
High_MTD,PKR,-7.63939450234,1.91378606756e-11,23
High_MTD,SGD,-9.11812194415,3.26027116838e-15,24
High_MTD,THB,-11.6194495078,2.40419319827e-21,5
High_MTD,TWD,-10.6976409516,3.59044475713e-19,8
High_MTD,VND,-10.0141212146,1.74709789942e-17,18
Low_MTD,AUD,-8.58911621766,7.36807228138e-14,21
Low_MTD,BDT,-8.73405374893,3.13496276644e-14,22
Low_MTD,CNY,-7.82148892833,6.65178202198e-12,23
Low_MTD,HKD,-9.58548190848,2.10289468566e-16,10
Low_MTD,IDR,,,
