,,,ADF Statistic,P - Value,Lag
High_MTD,VND,VN 30,-12.3861839083,4.90354891358e-23,3
Low_MTD,AUD,S&P/ASX 200,-11.0527196962,5.03282238494e-20,2
Low_MTD,BDT,DSE 30,,,
Low_MTD,CNY,SZSE Component,,,
Low_MTD,CNY,Shanghai,-10.7036255959,3.47232173058e-19,13
Low_MTD,HKD,Hang Seng,-10.8002124539,2.02680748283e-19,8
Low_MTD,IDR,IDX Composite,-11.171707167,2.63060549346e-20,10
Low_MTD,INR,BSE Sensex,,,
Low_MTD,INR,Nifty 50,-11.0256765465,5.83653363147e-20,4
Low_MTD,JPY,Nikkei 225,-10.5568618699,7.91117711455e-19,11
Low_MTD,KRW,KOSPI,-10.9617809327,8.29125510421e-20,14
Low_MTD,KRW,KOSPI 50,,,
Low_MTD,LKR,CSE All-Share,-8.78628742817,2.3039087326e-14,22
Low_MTD,MNT,MNE Top 20,,,
Low_MTD,MYR,KLCI,,,
Low_MTD,NZD,NZX 50,-10.9095935349,1.10559839394e-19,1
Low_MTD,NZD,NZX MidCap,-10.6905364404,3.73595187271e-19,2
Low_MTD,PHP,PSEi Composite,,,
Low_MTD,PKR,Karachi 100,-10.6083600583,5.92163296387e-19,1
Low_MTD,SGD,STI Index,,,
Low_MTD,THB,SET,-8.62893936079,5.82640253288e-14,28
Low_MTD,TWD,TPEx 50,,,
Low_MTD,TWD,Taiwan Weighted,,,
Low_MTD,USD,Dow 30,-8.98068390573,7.32438556398e-15,20
Low_MTD,USD,Nasdaq,-10.9795922365,7.51723534164e-20,4
Low_MTD,USD,Nasdaq 100,-11.1196123734,3.49252546234e-20,4
Low_MTD,USD,S&P 500,-11.0227874413,5.92973916553e-20,4
Low_MTD,VND,HNX 30,,,
Low_MTD,VND,VN 30,-12.5290171531,2.45207302569e-23,4
Close_MTD,AUD,S&P/ASX 200,-10.760653141,2.5259248424e-19,2
Close_MTD,BDT,DSE 30,,,
Close_MTD,CNY,SZSE Component,,,
Close_MTD,CNY,Shanghai,-11.0273936944,5.78184027762e-20,9
Close_MTD,HKD,Hang Seng,-10.8956542411,1.19411484949e-19,4
Close_MTD,IDR,IDX Composite,-11.4276813342,6.6335621618e-21,10
